阿 a e
拗 ao niu
扒 ba pa
膀 bang pang
蚌 bang beng
薄 bao bo
堡 bao bu pu
暴 bao pu
辟 bi pi
扁 bian pian
便 bian pian
骠 biao piao
屏 ping bing
剥 bo bao
泊 bo po
伯 bo bai
卜 bo bu
参 can cen shen
藏 cang zang
曾 ceng zeng
差 cha ci chai
刹 cha sha
禅 chan shan
颤 chan zhan
朝 chao zhao
嘲 chao zhao
车 che ju
称 chen cheng
乘 cheng sheng
盛 cheng sheng
澄 cheng deng
匙 chi shi
重 chong zhong
臭 chou xiu
畜 chu xu
传 chuan zhuan
绰 chuo chao
伺 ci si
枞 cong zong
攒 cuan zan
撮 cuo zuo
长 chang zhang
大 da dai
单 dan chan shan
弹 dan tan
提 di ti
得 de dei
的 di de
都 dou du
度 duo du
囤 dun tun
地 di de
革 ge ji
合 ge he
给 gei ji
颈 jing geng
枸 gou ju
谷 gu yu
桧 gui hui
虾 ha xia
巷 hang xiang
吭 hang keng
和 he hu huo
貉 he hao
会 hui kuai
还 hai huan
奇 ji qi
缉 ji qi
偈 ji jie
系 ji xi
茄 jia qie
嚼 jiao jue
侥 jiao yao
角 jiao jue
脚 jiao jue
剿 jiao chao
校 jiao xiao
解 jie xie
芥 jie gai
藉 jie ji
矜 jin qin
劲 jin jing
龟 jun gui qiu
咀 ju zui
觉 jue jiao
卡 ka qia
壳 ke qiao
克 ke kei
烙 lao luo
勒 le lei
俩 lia liang
潦 liao lao
碌 liu lu
偻 lou lv
露 lu lou
捋 lv luo
绿 lv lu
络 luo lao
落 luo lao la
六 liu lu
了 le liao
乐 le yue lao
脉 mo mai
埋 mai man
蔓 man wan
氓 mang meng
秘 bi mi bei
泌 mi bi
模 mo mu
摩 mo ma
缪 mou miu miao
弄 nong long
疟 nue yao
娜 nuo na
哪 na ne
迫 pai po
胖 pan pang
刨 pao bao
炮 pao bao
朴 pu po piao
瀑 pu bao
曝 pu bao
栖 qi xi
蹊 qi xi
稽 qi ji
荨 qian xun
强 qiang jiang
趄 qie ju
亲 qin qing
雀 que qiao
色 se shai
塞 se sai
厦 sha xia
杉 shan sha
折 she zhe
什 shen shi
葚 shen ren
识 shi zhi
似 shi si
熟 shu shou
螫 shi zhe
说 shui shuo
数 shuo shu
缩 suo su
石 shi dan
谁 shui shei
调 tiao diao
圩 wei xu
尾 wei yi
尉 wei yu
吓 xia he
见 xian jian
纤 xian qian
行 xing hang heng
省 xing sheng
宿 xiu su
削 xue xiao
血 xue xie
殷 yan yin
咽 yan ye
钥 yao yue
叶 ye xie
艾 yi ai
熨 yu yun
吁 yu xu
筠 yun jun
择 ze zhai
扎 zha za
轧 zha ya
粘 zhan nian
着 zhao zhuo zhe
殖 zhi shi
属 zhu shu
著 zhu zhe zhuo
幢 zhuang chuang
综 zeng zong
柞 zuo zha
