一 二丁
乙 九几
丁 仃叮汀弓订厅一打可
七 十轧
乃 孕奶才扔仍
九 大仇丸
了 孑孓予孔
二 仁三示元一左云旦
人 久认分介矢囚欠内仄八夫尺入
儿 兄允充札
入 人木父
八 分兮囚公以欠仄人扒叭亥
几 冗夕风亢饥凤讥乞凡及叽
刀 切分叨刃召
刁 叼
力 另加幼历叻
匕 比尼它北
十 古末支干斗七士止汁卅什廾未世丰午千卉丈计
卜 丹斗卞下土仆扑
又 奴双叉友冬支反及
三 些干完辰岸夸示兰奈佞芸沅甘仁言生元二云
下 斥拆正丐卡卜坼忑吓
丈 杖仗
上 忐此言厂齿些卡让延迂
丫 中巾六父只史由甲儿
丸 汍执夕九势
凡 夕风丸几歹帆外芃钒
久 灸欠疚之玖
么 公私吆玄兹夭似
也 他驰迤牠她迆𫍙拖池轧弛地
乞 迄纥夕己饥几人屹讫疙讥吃叽干
于 盂芋纡余吁宇圩迂
亡 肓罔芒忙杗忘玄亥王盲文妄
兀 尧光洸北元阮恍沅无𫐄玩完
刃 仞轫韧忍刀纫召
勺 勾匀妁杓灼芍钓句旬甸均昀的
千 天侏阡年先迁垂仟斤乖朱纤舌卑
叉 夕钗双又发冬太夜
口 古呆吊吸加叹句右叭兄吁否可叫吕叮叵杏叨只吗叱吋吐舌召另如石回吆台吉叼各叻问占叩豆扣名
土 古去圯垃杜卜庄壬寺王坍块地坏凸坦吐木坩圭志灶仕主圩吉肚坎里隹冉
士 至苎志轩什仕寺壬世吉壮十𫐄
夕 侈舛丸几歹多外矽乞令凡汐宛名
大 天凶右扒九艾太史失犬文矢灰夭达因个力尖夹尢驮又夷丈
女 妙她姑妳奸好姐姗汝安妍妞姅妓始如妆囡妯妖奴妥妁妹妊妃妒
子 存孛孕孟李季孚囝孝字享俘好仔
孑 孙孔吼了孓孜
孓 了孑承
寸 侍村时守吋对付寺肘咐忖府讨纣
小 亦赤
尢 尤尬大兀太夭天力九七
尸 已尿怩失巨屈妮尼己居什仕届乍户屁尺呢尹
山 讪仙疝岌凶出岩汕岫岐屯
川 圳驯州训
工 巩扛讧弓汞杠佐红功贡江左肛攻巨巧
己 卮已岂纪改妃杞记乞尼忌
已 尼异己纪
巳 圯包祀庖抱咆泡苞
巾 吊市帕帛帘帜帐帆希布帖匝帅怖央
干 三肝半壬奸麦旱岸面秆轩付庙汗刊早讦廾乞休平午罕杆
廾 干十
弋 义岱试鸢戈式代
弓 弘引丁夷张工弛芎
才 材牙芽闭财木乃开呀
丑 忸夷羞妞里主角手钮冉扭纽酉
丐 肓斥芒卡杗忘玄下妄钙
不 坏芣甭灭平杯呸胚丕否仆歪
中 吊忡丫忠史坤袖冲束钟甲虹由串仲同肃肿巾虫种里盅聿
丰 捷拷手十锋抨彗征怔拧抹拜梆邦豉湃牯蚌技绑生峰奉抖烽艳
丹 舢雪帜舟冈南月卜彤肪帖雯坍脐雨甘旦
之 久永贬闪欠乏支泛芝次疚
尹 裙引郡伊尸史咿君窘
予 矛序杼抒妤预野纾了舒
云 三至寿灵冽宗完纭室运示昙屋套奈芸乓虫言元仄二耘
井 青拼讲荆进平刑邢阱并廿形耕姘
互 喙主沍
五 语敔芋悟晤苯伍圄梧圩吾无唔捂
亢 芟般肌吭肮冗投几杭阬炕航抗坑咒朵伉沆厂飒放
仁 仞三些丘壬佰佺任俞伸门饪佞伍很倥全竺沅呻申仍合二低会但
什 祉伺值使氏十吱阯私日估尸士佬伎纸止侍此汁伞伫倥仕仟卒缶佗午仗址杵知
仃 酊订汽何钉町矣咛叮厅宁盯拧倚丁伫打狞汀凭
仆 偌伙朴不卜钋扑仙供补吐估位侪仅借仲仿侏什仕休牡侦伐伏佯伉住依佃信谷
仇 仃伽枚倚收矢侑攸别轨九究佑矣知侪侠俟
仍 仁你秀奶仿伋莠扔透氖作乃诱仔
今 昤伶吟尽捻冷矜苓钤聆铃涔仑羚俊邻令拎念伏玲合贪岑泠含
介 条怫佛尬攸价亚弗灭串阶佻钏劣圳而界芥人疥
仄 囚巫乐丙病闪圾冷厥示欠厄个八厕刻元人云
元 三院远园完示莞阮冠允玩光寇皖沅𫐄梡兀二云
允 列元秃儿充兕统吮
内 丙病衲陋月柄狈呐贝纳钠肉讷费炳吠人亥俱
六 刘兖效究姣交举玖铰冥郊秀狡疚校衮商皎咬
兮 佾垮亏夸胯八奇圬朽其污巧粤
公 钓冬钋崧忪分弘贻从翁讼八突勺金蚣么丛勾淞松
冗 肌吭亢几杭帆农炕从岚役抗坑咒宋丛朵伉沆侬
凶 天见胸匈出父山崎兄酗崤狄狈夭史汹峡大
分 迢芬初盆切叨盼召纷粉吩刀岔扮八炤汾贫忿券氛人份
切 分叨招砌券批刀沼妣初窃沘纰
刈 划刖刹钊刊刑判利删别刺制削剌剩剂列刎刨刷到刮剁则剖刚
匀 勾均钧昀勺
勾 匍沟杓钩均甸句构购勺怯旬怡灼匀忪
勿 赐剔吻囫惚刎忽易物惕
化 伙货讹它仙叱批花哗妣尼佬此庇骅华靴比倾牝佗屁仳沘北
匹 穴叵匡匠四司讥匝匣
午 萄掏十干率浒估啕忤许伞什缺卒缶淘钵仗杵
升 吊昊才昂阡声壬白阮阱夭阬皿井除陆禾免廿世戊血立乍隆庚杲千旸防竹
卅 芰芾廿十苎
卞 这卜汴玄仆扑朴钋京外卦赴
厄 呃忌脆犯卷扼轭诡桅卮危
友 尤奴怪双疫又右没夜反疚
及 吸级岌汲几伋又芨圾
反 板汉客贩冬凤疼返叛皈阪扳烙咚各饭钣版又
壬 梃丢任皓干告廷先庭淫士挺呈浩逞饪荏衽仁妊窖程圣尘造
天 癸阕昊爰助碘侯典夸先揆吞大垮京兵尖葵严喉千堠
夫 麸叔抚𫓧失扑拂肤佚枢弗拾承规芙拖侏趺挫扶朱伕辇拴伏诛替牧人迭
太 天去夕歹右犬矢斗态夭倏大弋贝构闳丸尢叉丈汰寸
夭 桥笑吃尧揍侨吞大劣娇乔沃么妖祆契忝凑奏竹
孔 乳荪孑孙札拢孤吼了扎孓孩孜逊
少 妙砂炒火郝钞杪莎吵秒娑纱劣沙眇尖省炎抄竹
尤 疣鱿伏忧尢嵇吠就友犹犬优
尺 呎矢咫屎人尸放氏迟
屯 吨盹恺岱肫山纯饨炖钝顿匈囤沌
巴 色笆琶把邑疤肥芭爸邕吧葩耙扈浥爬靶杷
幻 幼吆玄拗糸兹药窈
廿 弁卉戒卅升井册皿世并曲
吊 迢口帝怖帘阿帅钸啼叫市跳幅陪席啸帟角布帑帖庙升希陴帕帛嫦币巾碉唏匝品叼央啻屌满常砸
引 蚓阡郎那邱耶冲弘印弓郑阱祁邺仲弟邦第剃邢尹
心 闷志忽沁忠必芯忌思
戈 弋戕伐划戒找饯贱残战栈寸戊戎浅
户 房芦肩炉所护沪孚扁雇卢庐作扈窄妒戾
手 丰牛丑半扒打扑扎
扎 指把找牝尾牠批毛甩拉手拙折扣扑择札
支 技肢屐又伎取芰歧之翅芝十豉妓岐吱枝
文 蚊纹玟抆悯斑亡斐弯紊送吝虔闵汶雯大交
斗 料科斛莲考抖卜太枓十斜蚪
斤 斥近祈斩欣晰羌肩厅听浙淅昕斯析圻沂质芹仟折逝匠所斧千斫
